codi,nota
10120,5.000
11001,6.074
11002,10.682
11003,11.178
11004,11.446
11005,9.256
11006,11.790
11007,10.135
11010,9.516
11011,5.000
11012,9.736
11013,8.420
11014,8.972
11015,8.302
11017,8.862
11019,10.110
11021,5.000
11023,5.000
11024,11.034
11025,5.756
11026,5.000
11027,5.000
11029,5.000
11030,11.610
11032,6.362
11033,9.340
11034,5.000
11035,5.000
11037,10.714
11039,5.000
11040,5.000
11043,12.685
11044,12.430
11045,8.320
11046,9.022
11047,9.660
11049,9.234
11051,7.818
11054,9.054
11059,12.255
11060,8.500
11061,5.000
11062,10.084
11063,7.810
11064,10.956
11072,10.902
11073,11.290
11075,11.468
11076,8.924
11077,9.744
11081,11.404
11082,5.000
11083,12.500
11086,5.000
11090,9.388
11091,7.272
11093,8.672
11094,5.000
11095,10.424
11096,8.476
11097,11.086
11098,10.442
11099,8.172
11100,7.364
11101,10.536
11102,5.000
11103,9.230
11104,8.300
11105,5.000
11106,5.000
11107,5.000
11108,5.842
11109,5.976
11110,5.000
11111,5.000
11112,5.000
11113,5.000
11114,5.000
11115,5.824
11116,8.444
11117,9.094
11118,5.000
11119,12.812
11120,11.206
11121,8.790
11122,9.590
11123,11.870
11124,12.367
11125,8.076
21003,11.632
21008,10.342
21009,10.678
21010,11.934
21011,10.990
21012,10.989
21013,9.306
21014,9.732
21015,5.000
21016,8.512
21018,9.401
21019,8.522
21020,6.448
21021,9.118
21022,7.078
21025,7.167
21026,7.458
21030,7.410
21032,5.982
21033,6.872
21035,11.040
21037,6.616
21038,8.469
21039,5.000
21041,8.189
21042,8.023
21043,9.634
21044,10.679
21046,5.000
21048,9.052
21050,10.613
21051,5.000
21052,8.776
21054,5.000
21055,8.460
21056,7.734
21057,5.000
21059,5.000
21064,5.728
21065,5.000
21067,7.248
21068,9.796
21070,9.228
21071,9.182
21079,12.354
21081,9.766
21082,9.066
21083,11.822
21084,8.780
21085,10.855
21086,9.708
21087,9.780
21090,8.910
21095,10.952
21096,9.864
21097,11.056
21098,10.038
21099,9.214
21104,11.270
21105,9.358
21106,8.972
21107,5.000
21108,10.900
21109,9.970
21110,9.660
21111,10.848
21112,7.192
21113,5.000
21114,5.000
21115,7.952
21117,5.000
21118,9.455
21121,9.356
21122,10.972
21123,11.454
21124,5.926
21125,10.292
21126,7.692
21127,6.612
21128,8.878
21129,9.262
21131,7.957
21132,6.928
21134,5.000
21135,5.000
21136,5.000
21137,5.830
21138,8.870
21139,10.497
21140,5.000
21141,5.000
21142,5.000
21143,5.000
21144,5.000
21145,12.972
21146,5.000
21147,8.608
21148,5.000
21149,7.420
21150,9.444
21151,7.930
21152,5.000
21167,11.424
21168,11.600
21169,12.924
21170,11.484
21171,11.644
21172,8.096
21173,6.720
21174,5.000
21175,5.000
31004,7.703
31006,8.570
31010,7.290
31011,8.717
31015,9.374
31016,8.856
31022,10.894
31025,8.628
31027,9.954
31031,12.432
31037,8.834
31038,7.694
31040,12.552
31045,8.154
31049,8.926
31051,11.546
31052,8.692
31053,9.089
31054,9.314
31055,9.042
31059,10.008
31065,8.000
31067,12.406
31074,5.000
31076,8.494
31077,7.776
31078,9.838
31079,10.142
31083,5.000
31084,11.004
31085,10.970
31086,8.416
31087,7.500
31089,12.006
31091,10.424
31096,7.488
31097,6.906
31098,8.218
31099,9.550
31100,7.802
31103,9.846
31104,8.310
31105,8.200
31106,11.514
31111,10.752
31112,12.694
31113,11.482
31114,10.120
31115,10.724
31116,11.422
31121,5.000
31122,7.000
31123,10.971
31124,8.362
31125,5.000
31126,5.000
31127,5.000
31128,5.000
31129,5.000
31130,5.000
