Curs_academic,Presentats,Aprovats,Mitjana_Expedient,Mitjana_PAU,Expedient_menys_PAU,Mitjana_Acces
2010/11,24152,23056,7.16,6.324,0.836,6.828
2011/12,24573,23606,7.19,6.364,0.826,6.86
2012/13,24728,23699,7.27,6.359,0.911,6.903
2013/14,25515,24554,7.3,6.489,0.811,6.973
2014/15,25863,25240,7.3,6.717,0.583,7.067
2015/16,26099,25503,7.32,6.66,0.66,7.056
2016/17,26769,25530,7.4,6.445,0.955,7.017
2017/18,27805,27160,7.42,6.643,0.777,7.11
2018/19,28301,27598,7.43,6.637,0.793,7.114
2019/20,31629,30169,7.53,6.631,0.899,7.169
2020/21,31711,30910,7.66,6.863,0.797,7.341
2021/22,32051,31294,7.6,6.872,0.728,7.311
2022/23,32638,31936,7.61,6.799,0.811,7.285
2023/24,33092,32350,7.64,6.765,0.875,7.293
2024/25,33707,32320,7.69,6.453,1.237,7.193
2025/26,34642,33145,7.68,6.403,1.277,7.167
