curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2015/2016,2015,ART DRAMÀTIC SUPERIOR,ADRL -  INTERPRETACIÓ,NA,286,183,103,0,2
2015/2016,2015,ART DRAMÀTIC SUPERIOR,ADRL - DIRECCIÓ D'ESCENA I DRAMATÚRGIA,NA,84,39,45,0,2
2015/2016,2015,ART DRAMÀTIC SUPERIOR,ADRL - ESCENOGRAFIA,NA,33,24,9,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ARTESANIA EN CUIR,1,13,9,4,1,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ARTESANIA EN CUIR,2,6,4,2,1,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ARTFINAL DE DISSENY GRÀFIC,P,1,1,0,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ASSISTÈNCIA AL PRODUCTE GRÀFIC IMPRÈS,1,263,118,145,11,11
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ASSISTÈNCIA AL PRODUCTE GRÀFIC IMPRÈS,2,204,109,95,11,11
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ASSISTÈNCIA AL PRODUCTE GRÀFIC IMPRÈS,P,1,0,1,0,1
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ASSISTÈNCIA AL PRODUCTE GRÀFIC INTERACTIU,1,226,93,133,6,9
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - ASSISTÈNCIA AL PRODUCTE GRÀFIC INTERACTIU,2,154,51,103,6,9
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - DECORACIÓ CERÀMICA,1,19,17,2,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - DECORACIÓ CERÀMICA,2,32,28,4,6,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - EBENISTERIA ARTÍSTICA,1,12,4,8,2,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - EBENISTERIA ARTÍSTICA,2,24,1,23,1,2
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAM - EBENISTERIA ARTÍSTICA,P,3,1,2,0,1
