year,tipus,batx2,solicitants,baix,alt,sense_creixement_cohort
2020,històric,NA,55815,NA,NA,NA
2021,històric,NA,57411,NA,NA,NA
2022,històric,NA,59038,NA,NA,NA
2023,històric,NA,58023,NA,NA,NA
2024,històric,NA,58975,NA,NA,NA
2025,històric,NA,63038,NA,NA,NA
2026,projecció (observat),47885,60778,59068,63409,60778
2027,projecció (projectat),46597,59143,57479,61703,59143
2028,projecció (projectat),46505,59026,57366,61581,59026
2029,projecció (projectat),45814,58149,56513,60667,58149
2030,projecció (projectat),45356,57568,55949,60060,56756
2031,projecció (projectat),43737,55512,53951,57916,53695
2032,projecció (projectat),44414,56372,54787,58813,53172
2033,projecció (projectat),44203,56105,54526,58534,52049
2034,projecció (projectat),43384,55065,53516,57449,50411
2035,projecció (projectat),42051,53373,51871,55683,48079
2036,projecció (projectat),40109,50908,49476,53112,45403
2037,projecció (projectat),38291,48600,47233,50704,42589
