year,metric,value
2016,estudis_infrademandats,182
2017,estudis_infrademandats,196
2018,estudis_infrademandats,170
2019,estudis_infrademandats,168
2020,estudis_infrademandats,150
2021,estudis_infrademandats,141
2022,estudis_infrademandats,137
2023,estudis_infrademandats,113
2024,estudis_infrademandats,122
2025,estudis_infrademandats,119
2016,matricula_nou_acces,36627
2017,matricula_nou_acces,37004
2018,matricula_nou_acces,37573
2019,matricula_nou_acces,37606
2020,matricula_nou_acces,37917
2021,matricula_nou_acces,38321
2022,matricula_nou_acces,38618
2023,matricula_nou_acces,39072
2024,matricula_nou_acces,39275
2025,matricula_nou_acces,38873
2016,nota_tall_mediana,6.212
2017,nota_tall_mediana,6.211
2018,nota_tall_mediana,6.584
2019,nota_tall_mediana,7.205
2020,nota_tall_mediana,7.765499999999999
2021,nota_tall_mediana,8.201
2022,nota_tall_mediana,8.349
2023,nota_tall_mediana,8.161000000000001
2024,nota_tall_mediana,8.1145
2025,nota_tall_mediana,8.4085
2016,nota_tall_mitjana,7.071511363636364
2017,nota_tall_mitjana,7.116892857142857
2018,nota_tall_mitjana,7.277739696312365
2019,nota_tall_mitjana,7.512166666666666
2020,nota_tall_mitjana,7.906619341563786
2021,nota_tall_mitjana,8.213392276422764
2022,nota_tall_mitjana,8.26961111111111
2023,nota_tall_mitjana,8.17952380952381
2024,nota_tall_mitjana,8.15954296875
2025,nota_tall_mitjana,8.2404166666666665
2011,pau_mitjana_acces,6.828
2012,pau_mitjana_acces,6.86
2013,pau_mitjana_acces,6.903
2014,pau_mitjana_acces,6.973
2015,pau_mitjana_acces,7.067
2016,pau_mitjana_acces,7.056
2017,pau_mitjana_acces,7.017
2018,pau_mitjana_acces,7.11
2019,pau_mitjana_acces,7.114
2020,pau_mitjana_acces,7.169
2021,pau_mitjana_acces,7.341
2022,pau_mitjana_acces,7.311
2023,pau_mitjana_acces,7.285
2024,pau_mitjana_acces,7.293
2025,pau_mitjana_acces,7.193
2026,pau_mitjana_acces,7.167
2011,pau_mitjana_expedient,7.16
2012,pau_mitjana_expedient,7.19
2013,pau_mitjana_expedient,7.27
2014,pau_mitjana_expedient,7.3
2015,pau_mitjana_expedient,7.3
2016,pau_mitjana_expedient,7.32
2017,pau_mitjana_expedient,7.4
2018,pau_mitjana_expedient,7.42
2019,pau_mitjana_expedient,7.43
2020,pau_mitjana_expedient,7.53
2021,pau_mitjana_expedient,7.66
2022,pau_mitjana_expedient,7.6
2023,pau_mitjana_expedient,7.61
2024,pau_mitjana_expedient,7.64
2025,pau_mitjana_expedient,7.69
2026,pau_mitjana_expedient,7.68
2011,pau_mitjana_pau,6.324
2012,pau_mitjana_pau,6.364
2013,pau_mitjana_pau,6.359
2014,pau_mitjana_pau,6.489
2015,pau_mitjana_pau,6.717
2016,pau_mitjana_pau,6.66
2017,pau_mitjana_pau,6.445
2018,pau_mitjana_pau,6.643
2019,pau_mitjana_pau,6.637
2020,pau_mitjana_pau,6.631
2021,pau_mitjana_pau,6.863
2022,pau_mitjana_pau,6.872
2023,pau_mitjana_pau,6.799
2024,pau_mitjana_pau,6.765
2025,pau_mitjana_pau,6.453
2026,pau_mitjana_pau,6.403
2011,pau_presentats,24152
2012,pau_presentats,24573
2013,pau_presentats,24728
2014,pau_presentats,25515
2015,pau_presentats,25863
2016,pau_presentats,26099
2017,pau_presentats,26769
2018,pau_presentats,27805
2019,pau_presentats,28301
2020,pau_presentats,31629
2021,pau_presentats,31711
2022,pau_presentats,32051
2023,pau_presentats,32638
2024,pau_presentats,33092
2025,pau_presentats,33707
2026,pau_presentats,34642
2016,pct_tall_ge_10,14.545454545454545
2017,pct_tall_ge_10,14.508928571428571
2018,pct_tall_ge_10,15.835140997830802
2019,pct_tall_ge_10,20.042194092827003
2020,pct_tall_ge_10,24.48559670781893
2021,pct_tall_ge_10,30.284552845528456
2022,pct_tall_ge_10,30.357142857142858
2023,pct_tall_ge_10,27.38095238095238
2024,pct_tall_ge_10,27.34375
2025,pct_tall_ge_10,27.325581395348838
2016,pct_tall_ge_11,10
2017,pct_tall_ge_11,10.714285714285714
2018,pct_tall_ge_11,11.93058568329718
2019,pct_tall_ge_11,12.658227848101266
2020,pct_tall_ge_11,17.28395061728395
2021,pct_tall_ge_11,20.121951219512194
2022,pct_tall_ge_11,19.642857142857142
2023,pct_tall_ge_11,15.476190476190476
2024,pct_tall_ge_11,15.8203125
2025,pct_tall_ge_11,15.503875968992247
2016,pct_tall_ge_12,4.545454545454546
2017,pct_tall_ge_12,4.6875
2018,pct_tall_ge_12,5.206073752711497
2019,pct_tall_ge_12,5.274261603375527
2020,pct_tall_ge_12,8.436213991769547
2021,pct_tall_ge_12,10.16260162601626
2022,pct_tall_ge_12,9.523809523809524
2023,pct_tall_ge_12,7.341269841269841
2024,pct_tall_ge_12,5.6640625
2025,pct_tall_ge_12,6.007751937984496
2016,pct_tall_ge_6,51.81818181818182
2017,pct_tall_ge_6,50.892857142857146
2018,pct_tall_ge_6,54.66377440347072
2019,pct_tall_ge_6,58.860759493670884
2020,pct_tall_ge_6,63.16872427983539
2021,pct_tall_ge_6,67.88617886178862
2022,pct_tall_ge_6,70.03968253968254
2023,pct_tall_ge_6,72.61904761904762
2024,pct_tall_ge_6,73.046875
2025,pct_tall_ge_6,72.86821705426357
2016,pct_tall_ge_7,43.18181818181818
2017,pct_tall_ge_7,45.089285714285715
2018,pct_tall_ge_7,45.98698481561822
2019,pct_tall_ge_7,51.265822784810126
2020,pct_tall_ge_7,56.17283950617284
2021,pct_tall_ge_7,61.17886178861789
2022,pct_tall_ge_7,63.29365079365079
2023,pct_tall_ge_7,63.888888888888886
2024,pct_tall_ge_7,64.84375
2025,pct_tall_ge_7,67.44186046511628
2016,pct_tall_ge_8,31.363636363636363
2017,pct_tall_ge_8,34.375
2018,pct_tall_ge_8,36.22559652928417
2019,pct_tall_ge_8,40.50632911392405
2020,pct_tall_ge_8,48.148148148148145
2021,pct_tall_ge_8,52.4390243902439
2022,pct_tall_ge_8,53.76984126984127
2023,pct_tall_ge_8,51.19047619047619
2024,pct_tall_ge_8,51.5625
2025,pct_tall_ge_8,55.62015503875969
2016,pct_tall_ge_9,20.90909090909091
2017,pct_tall_ge_9,21.875
2018,pct_tall_ge_9,24.72885032537961
2019,pct_tall_ge_9,29.957805907172997
2020,pct_tall_ge_9,38.27160493827161
2021,pct_tall_ge_9,42.073170731707314
2022,pct_tall_ge_9,42.46031746031746
2023,pct_tall_ge_9,40.27777777777778
2024,pct_tall_ge_9,39.453125
2025,pct_tall_ge_9,40.69767441860465
2020,places,38071
2021,places,37883
2022,places,38670
2023,places,38752
2024,places,38916
2025,places,38731
2020,ratio_sol_plaça,1.406451104515248
2021,ratio_sol_plaça,1.4576723068394795
2022,ratio_sol_plaça,1.4592966123610034
2023,ratio_sol_plaça,1.4280811312964492
2024,ratio_sol_plaça,1.4385085825881385
2025,ratio_sol_plaça,1.5446025147814413
2020,solicitants_1a_pref,53545
2021,solicitants_1a_pref,55221
2022,solicitants_1a_pref,56431
2023,solicitants_1a_pref,55341
2024,solicitants_1a_pref,55981
2025,solicitants_1a_pref,59824
